id,name,description,price,stock,image_source_name,image_source_url,image_title,image_file_name,created_at,updated_at
6f133b3a4abe4c809deb116b8d,Craft Sawhorse,High-quality craft sawhorse suitable for steel work. Professional grade tool for both DIY enthusiasts and professionals.,453.55,22,Google Custom Search,https://learn.kregtool.com/content/uploads/2021/03/Craft-Desk-4.png,Craft Sawhorse,6f133b3a4abe4c809deb116b8d.jpg,2025-07-21T03:53:10.910Z,2025-07-21T03:53:10.917Z
656e0819958c4e2a90633c6cb4,ProMax Lawn Mower,High-quality promax lawn mower suitable for gold work. Professional grade tool for both DIY enthusiasts and professionals.,471.79,22,Google Custom Search,https://m.media-amazon.com/images/I/81qeugUyj6L.jpg,ProMax Lawn Mower,656e0819958c4e2a90633c6cb4.jpg,2025-07-21T03:53:10.917Z,2025-07-21T03:53:10.917Z
246dcde965364e4ba119d242d5,Xtreme Nail Gun,High-quality xtreme nail gun suitable for steel work. Professional grade tool for both DIY enthusiasts and professionals.,413.89,59,Google Custom Search,https://images.thdstatic.com/productImages/bf523bac-7b64-488d-b301-4577013c3500/svn/xtremepowerus-roofing-nailers-44431-c3_600.jpg,Xtreme Nail Gun,246dcde965364e4ba119d242d5.jpg,2025-07-21T03:53:10.917Z,2025-07-21T03:53:10.917Z
e8c0ca4d8ef1417d95825d097b,ProMax Work Light,High-quality promax work light suitable for ceramic work. Professional grade tool for both DIY enthusiasts and professionals.,551.9,5,Google Custom Search,https://www.wellbots.com/cdn/shop/products/6-csbm6l.jpg_50q_800x.webp?v=1678291253,ProMax Work Light,e8c0ca4d8ef1417d95825d097b.jpg,2025-07-21T03:53:10.918Z,2025-07-21T03:53:10.918Z
af1966f13f024682908d8ba22c,Ultra Chain Saw,High-quality ultra chain saw suitable for marble work. Professional grade tool for both DIY enthusiasts and professionals.,837.95,78,Google Custom Search,https://i.ebayimg.com/images/g/9mIAAOSwxCxT2Wuw/s-l1200.jpg,Ultra Chain Saw,af1966f13f024682908d8ba22c.jpg,2025-07-21T03:53:10.918Z,2025-07-21T03:53:10.918Z
0f6c55c552314edd87002dd63e,HeavyDuty Wire Cutter,High-quality heavyduty wire cutter suitable for marble work. Professional grade tool for both DIY enthusiasts and professionals.,550.75,88,Google Custom Search,https://www.vcelink.com/cdn/shop/products/GJ712_54fa284a-8f5e-4d8a-8555-f73c620ae4e0.jpg?v=1661501646&width=1600,HeavyDuty Wire Cutter,0f6c55c552314edd87002dd63e.jpg,2025-07-21T03:53:10.918Z,2025-07-21T03:53:10.918Z
73029f303cb447ac9220f94c81,Max Rotary Tool,High-quality max rotary tool suitable for silk work. Professional grade tool for both DIY enthusiasts and professionals.,733.59,44,Google Custom Search,"https://m.media-amazon.com/images/I/31dXRjODweL._UF894,1000_QL80_.jpg",Max Rotary Tool,73029f303cb447ac9220f94c81.jpg,2025-07-21T03:53:10.918Z,2025-07-21T03:53:10.918Z
ab72bddc47aa4a2da1aba8d922,Titan Joiner,High-quality titan joiner suitable for gold work. Professional grade tool for both DIY enthusiasts and professionals.,105.4,89,Google Custom Search,https://cdn.shopify.com/s/files/1/0598/3656/3665/files/titanav-packers-hardware_600x600.jpg?v=1679625000,Titan Joiner,ab72bddc47aa4a2da1aba8d922.jpg,2025-07-21T03:53:10.918Z,2025-07-21T03:53:10.918Z
ed0f465f29f94c9eaaf1229113,ProMax Jack Stand,High-quality promax jack stand suitable for aluminum work. Professional grade tool for both DIY enthusiasts and professionals.,473.55,3,Google Custom Search,https://ae01.alicdn.com/kf/S76588c0a866d4aa2b40f21f04e32db6bh.jpg,ProMax Jack Stand,ed0f465f29f94c9eaaf1229113.jpg,2025-07-21T03:53:10.918Z,2025-07-21T03:53:10.918Z
0c2d7c3dac1e4e58b7ac78dd73,Xtreme Hammer,High-quality xtreme hammer suitable for steel work. Professional grade tool for both DIY enthusiasts and professionals.,366.89,25,Google Custom Search,https://www.toolacademy.com/wp-content/uploads/2021/11/11255VSR.png,Xtreme Hammer,0c2d7c3dac1e4e58b7ac78dd73.jpg,2025-07-21T03:53:10.918Z,2025-07-21T03:53:10.918Z
